message_key,message_text,,,,,,,,
LOGIN_SUCCESS,Login succesfully,,,,,,,,
LOGIN_FAIL,Login failed,,,,,,,,
CREATE_USER_SUCCESS,User created successfully,,,,,,,,
CREATE_USER_FAIL,Failed to create user,,,,,,,,
ORDER_SUCCESS,Order succesfully,,,,,,,,
ORDER_ER01,Order failed,,,,,,,,
ORDER_ER02,Not enough ingredients,,,,,,,,
,,,,,,,,,
,,,,,,,,,
